year,country,player,position,overall,canKick
2019,Pays_de_Galles,Ross Moriarty,DemiDeMelee,92,false
2019,Pays_de_Galles,Gareth Davies,DemiDeMelee,92,true
2019,Pays_de_Galles,Tomos Williams,DemiDeMelee,82,false
2019,Pays_de_Galles,Aled Davies,DemiOuverture,80,true
2019,Pays_de_Galles,Dan Biggar,DemiOuverture,92,true
2019,Pays_de_Galles,Rhys Patchell,Centre,82,false
2019,Pays_de_Galles,Jonathan Davies,Centre,92,false
2019,Pays_de_Galles,Hadleigh Parkes,Centre,84,false
2019,Pays_de_Galles,Owen Watkin,Centre,82,false
2019,Pays_de_Galles,Owen Lane,Ailier,80,false
2019,Pays_de_Galles,Josh Adams,Ailier,92,false
2019,Pays_de_Galles,Hallam Amos,Ailier,82,false
2019,Pays_de_Galles,George North,Arriere,80,false
2019,Pays_de_Galles,Leigh Halfpenny,Arriere,84,true
2019,Pays_de_Galles,Liam Williams,Arriere,92,false
2019,Géorgie,Levan Chilachava,Pilier,78,false
2019,Géorgie,Beka Gigashvili,Pilier,68,false
2019,Géorgie,Guram Gogichashvili,Pilier,66,false
2019,Géorgie,Giorgi Melikidze,Pilier,70,false
2019,Géorgie,Mikheil Nariashvili,Pilier,68,false
2019,Géorgie,Jaba Bregvadze,Talonneur,66,false
2019,Géorgie,Vano Karkadze,Talonneur,70,false
2019,Géorgie,Shalva Mamukashvili,Talonneur,68,false
2019,Géorgie,Mamuka Gorgodze,DeuxiemeLigne,78,false
2019,Géorgie,Konstantin Mikautadze,DeuxiemeLigne,70,false
2019,Géorgie,Giorgi Nemsadze,DeuxiemeLigne,68,false
2019,Géorgie,Shalva Sutiashvili,DeuxiemeLigne,66,false
2019,Géorgie,Otar Giorgadze,TroisiemeLigneAile,70,false
2019,Géorgie,Lasha Lomidze,TroisiemeLigneAile,68,false
2019,Géorgie,Beka Saginadze,TroisiemeLigneAile,66,false
2019,Géorgie,Giorgi Tkhilaishvili,TroisiemeLigneAile,70,false
2019,Géorgie,Beka Gorgadze,TroisiemeLigneCentre,78,false
2019,Géorgie,Gela Aprasidze,DemiDeMelee,66,false
2019,Géorgie,Giorgi Begadze,DemiDeMelee,70,false
2019,Géorgie,Vasil Lobzhanidze,DemiDeMelee,68,false
2019,Géorgie,Tedo Abzhandadze,DemiOuverture,66,true
2019,Géorgie,Lasha Khmaladze,DemiOuverture,70,true
2019,Géorgie,Davit Kacharava,Centre,68,false
2019,Géorgie,Giorgi Kveseladze,Centre,66,false
2019,Géorgie,Tamaz Mchedlidze,Centre,70,false
2019,Géorgie,Merab Sharikadze,Centre,78,false
2019,Géorgie,Zurab Dzneladze,Ailier,66,false
2019,Géorgie,Mirian Modebadze,Ailier,70,false
2019,Géorgie,Alexander Todua,Ailier,68,false
2019,Géorgie,Soso Matiashvili,Arriere,66,true
2019,Fidji,Lee Roy Atalifo,Pilier,76,false
2019,Fidji,Campese Ma'afu,Pilier,74,false
2019,Fidji,Eroni Mawi,Pilier,72,false
2019,Fidji,Peni Ravai,Pilier,76,false
2019,Fidji,Manasa Saulo,Pilier,74,false
2019,Fidji,Kalivati Tawake,Pilier,72,false
2019,Fidji,Mesulame Dolokoto,Talonneur,76,false
2019,Fidji,Sam Matavesi,Talonneur,74,false
2019,Fidji,Vere Vugakoto,Talonneur,72,false
2019,Fidji,Tevita Cavubati,DeuxiemeLigne,76,false
2019,Fidji,Leone Nakarawa,DeuxiemeLigne,84,false
2019,Fidji,Api Ratuniyarawa,DeuxiemeLigne,72,false
2019,Fidji,Tevita Ratuva,DeuxiemeLigne,76,false
2019,Fidji,Semi Kunatani,TroisiemeLigneAile,74,false
2019,Fidji,Mosese Voka,TroisiemeLigneAile,72,false
2019,Fidji,Dominiko Waqaniburotu,TroisiemeLigneAile,76,false
2019,Fidji,Viliame Mata,TroisiemeLigneCentre,84,false
2019,Fidji,Peceli Yato,TroisiemeLigneCentre,84,false
2019,Fidji,Frank Lomani,DemiDeMelee,76,false
2019,Fidji,Nikola Matawalu,DemiDeMelee,74,false
2019,Fidji,Henry Seniloli,DemiDeMelee,72,false
2019,Fidji,Ben Volavola,DemiOuverture,76,true
2019,Fidji,Joshua Matavesi,DemiOuverture,74,true
2019,Fidji,Levani Botia,Centre,84,false
2019,Fidji,Waisea Nayacalevu,Centre,76,false
2019,Fidji,Semi Radradra,Centre,84,false
2019,Fidji,Jale Vatubua,Centre,72,false
2019,Fidji,Vereniki Goneva,Ailier,76,false
2019,Fidji,Filipo Nakosi,Ailier,74,false
2019,Fidji,Josua Tuisova,Ailier,84,false
2019,Fidji,Kini Murimurivalu,Arriere,76,false
2019,Fidji,Alivereti Veitokani,Arriere,74,false
2019,Uruguay,Diego Arbelo,Pilier,67,false
2019,Uruguay,Juan Echeverría,Pilier,65,false
2019,Uruguay,Facundo Gattas,Pilier,63,false
2019,Uruguay,Joaquín Jaunsolo,Pilier,67,false
2019,Uruguay,Juan Pedro Rombys,Pilier,65,false
2019,Uruguay,Mateo Sanguinetti,Pilier,63,false
2019,Uruguay,Germán Kessler,Talonneur,67,false
2019,Uruguay,Guillermo Pujadas,Talonneur,65,false
2019,Uruguay,Ignacio Dotti,DeuxiemeLigne,63,false
2019,Uruguay,Franco Lamanna,DeuxiemeLigne,67,false
2019,Uruguay,Manuel Leindekar,DeuxiemeLigne,65,false
2019,Uruguay,Diego Magno,DeuxiemeLigne,63,false
2019,Uruguay,Manuel Ardao,TroisiemeLigneAile,67,false
2019,Uruguay,Santiago Civetta,TroisiemeLigneAile,65,false
2019,Uruguay,Juan Manuel Gaminara,TroisiemeLigneAile,63,false
2019,Uruguay,Juan Diego Ormaechea,TroisiemeLigneAile,67,false
2019,Uruguay,Manuel Diana,TroisiemeLigneCentre,65,false
2019,Uruguay,Alejandro Nieto,TroisiemeLigneCentre,63,false
2019,Uruguay,Santiago Arata,DemiDeMelee,75,true
2019,Uruguay,Agustín Ormaechea,DemiDeMelee,65,false
2019,Uruguay,Felipe Berchesi,DemiOuverture,75,true
2019,Uruguay,Felipe Etcheverry,DemiOuverture,67,true
2019,Uruguay,Juan Manuel Cat,Centre,75,false
2019,Uruguay,Agustín Della Corte,Centre,63,false
2019,Uruguay,Tomás Inciarte,Centre,67,false
2019,Uruguay,Andrés Vilaseca,Centre,65,false
2019,Uruguay,Federico Favaro,Ailier,63,false
2019,Uruguay,Nicolás Freitas,Ailier,67,false
2019,Uruguay,Leandro Leivas,Ailier,65,false
2019,Uruguay,Gastón Mieres,Arriere,63,false
2019,Uruguay,Rodrigo Silva,Arriere,67,false
2019,USA,David Ainu'u,Pilier,66,false
2019,USA,Eric Fry,Pilier,64,false
2019,USA,Olive Kilifi,Pilier,63,false
2019,USA,Titi Lamositele,Pilier,70,false
2019,USA,Paul Mullen,Pilier,62,false
2019,USA,Chance Wenglewski,Pilier,61,false
2019,USA,Dylan Fawsitt,Talonneur,64,false
2019,USA,James Hilterbrand,Talonneur,63,false
2019,USA,Joe Taufete'e,Talonneur,76,false
2019,USA,Nate Brakeley,DeuxiemeLigne,65,false
2019,USA,Nick Civetta,DeuxiemeLigne,66,false
2019,USA,Ben Landry,DeuxiemeLigne,64,false
2019,USA,Greg Peterson,DeuxiemeLigne,68,false
2019,USA,Hanco Germishuys,TroisiemeLigneAile,72,false
2019,USA,Tony Lamborn,TroisiemeLigneAile,69,false
2019,USA,Ben Pinkelman,TroisiemeLigneAile,68,false
2019,USA,John Quill,TroisiemeLigneAile,65,false
2019,USA,Malon Al-Jiboori,TroisiemeLigneCentre,64,false
2019,USA,Cam Dolan,TroisiemeLigneCentre,75,false
2019,USA,Nate Augspurger,DemiDeMelee,67,false
2019,USA,Shaun Davies,DemiDeMelee,65,false
2019,USA,Ruben de Haas,DemiDeMelee,68,false
2019,USA,AJ MacGinty,DemiOuverture,77,true
2019,USA,Will Magie,DemiOuverture,66,true
2019,USA,Bryce Campbell,Centre,67,false
2019,USA,Paul Lasike,Centre,71,false
2019,USA,Thretton Palamo,Centre,66,false
2019,USA,Marcel Brache,Ailier,68,false
2019,USA,Martin Iosefo,Ailier,66,false
2019,USA,Blaine Scully,Ailier,73,false
2019,USA,Mike Te'o,Ailier,67,false
2019,USA,Will Hooley,Arriere,68,true
2015,Australie,Greg Holmes,Pilier,86,false
2015,Australie,Sekope Kepu,Pilier,88,false
2015,Australie,Scott Sio,Pilier,82,false
2015,Australie,James Slipper,Pilier,85,false
2015,Australie,Toby Smith,Pilier,83,false
2015,Australie,Stephen Moore,Talonneur,88,false
2015,Australie,Tatafu Polota-Nau,Talonneur,84,false
2015,Australie,Sam Carter,DeuxiemeLigne,86,false
2015,Australie,Kane Douglas,DeuxiemeLigne,84,false
2015,Australie,Dean Mumm,DeuxiemeLigne,82,false
2015,Australie,Rob Simmons,DeuxiemeLigne,85,false
2015,Australie,Will Skelton,DeuxiemeLigne,83,false
2015,Australie,Scott Fardy,TroisiemeLigneAile,86,false
2015,Australie,Michael Hooper,TroisiemeLigneAile,94,false
2015,Australie,Sean McMahon,TroisiemeLigneAile,82,false
2015,Australie,David Pocock,TroisiemeLigneAile,95,false
2015,Australie,James Hanson,TroisiemeLigneCentre,86,false
2015,Australie,Ben McCalman,TroisiemeLigneCentre,84,false
2015,Australie,Wycliff Palu,TroisiemeLigneCentre,82,false
2015,Australie,Will Genia,DemiDeMelee,89,false
2015,Australie,Nick Phipps,DemiDeMelee,84,false
2015,Australie,Quade Cooper,DemiOuverture,86,true
2015,Australie,Bernard Foley,DemiOuverture,91,true
2015,Australie,Kurtley Beale,Centre,87,true
2015,Australie,Matt Giteau,Centre,89,true
2015,Australie,Matt Toomua,Centre,82,false
2015,Australie,Adam Ashley-Cooper,Ailier,90,false
2015,Australie,Rob Horne,Ailier,84,false
2015,Australie,Drew Mitchell,Ailier,82,false
2015,Australie,Henry Speight,Ailier,85,false
2015,Australie,Joe Tomane,Ailier,83,false
2015,Australie,Tevita Kuridrani,Ailier,86,false
2015,Australie,Israel Folau,Arriere,91,false
2015,Angleterre,Joe Marler,Pilier,78,false
2015,Angleterre,Mako Vunipola,Pilier,76,false
2015,Angleterre,David Wilson,Pilier,74,false
2015,Angleterre,Kieran Brookes,Pilier,77,false
2015,Angleterre,Dan Cole,Pilier,75,false
2015,Angleterre,Tom Youngs,Talonneur,78,false
2015,Angleterre,Jamie George,Talonneur,76,false
2015,Angleterre,Rob Webber,Talonneur,74,false
2015,Angleterre,Geoff Parling,DeuxiemeLigne,78,false
2015,Angleterre,Joe Launchbury,DeuxiemeLigne,76,false
2015,Angleterre,Courtney Lawes,DeuxiemeLigne,74,false
2015,Angleterre,George Kruis,DeuxiemeLigne,77,false
2015,Angleterre,Chris Robshaw,TroisiemeLigneAile,78,false
2015,Angleterre,James Haskell,TroisiemeLigneAile,76,false
2015,Angleterre,Tom Wood,TroisiemeLigneAile,74,false
2015,Angleterre,Nick Easter,TroisiemeLigneCentre,78,false
2015,Angleterre,Billy Vunipola,TroisiemeLigneCentre,76,false
2015,Angleterre,Ben Morgan,TroisiemeLigneCentre,74,false
2015,Angleterre,Ben Youngs,DemiDeMelee,78,false
2015,Angleterre,Richard Wigglesworth,DemiDeMelee,76,false
2015,Angleterre,Danny Care,DemiDeMelee,74,false
2015,Angleterre,George Ford,DemiOuverture,78,true
2015,Angleterre,Owen Farrell,DemiOuverture,76,true
2015,Angleterre,Henry Slade,DemiOuverture,74,true
2015,Angleterre,Jonathan Joseph,Centre,78,false
2015,Angleterre,Brad Barritt,Centre,76,false
2015,Angleterre,Sam Burgess,Centre,74,false
2015,Angleterre,Jonny May,Ailier,78,false
2015,Angleterre,Jack Nowell,Ailier,76,false
2015,Angleterre,Anthony Watson,Ailier,74,false
2015,Angleterre,Alex Goode,Arriere,78,true
2015,Angleterre,Mike Brown,Arriere,76,false
2015,Fidji,Isei Colati,Pilier,75,false
2015,Fidji,Peni Ravai,Pilier,73,false
2015,Fidji,Lee Roy Atalifo,Pilier,71,false
2015,Fidji,Campese Ma'afu,Pilier,74,false
2015,Fidji,Manasa Saulo,Pilier,72,false
2015,Fidji,Taniela Koroi,Pilier,75,false
2015,Fidji,Talemaitoga Tuapati,Talonneur,75,false
2015,Fidji,Sunia Koto,Talonneur,73,false
2015,Fidji,Viliame Veikoso,Talonneur,71,false
2015,Fidji,Leone Nakarawa,DeuxiemeLigne,86,false
2015,Fidji,Api Ratuniyarawa,DeuxiemeLigne,73,false
2015,Fidji,Nemia Soqeta,DeuxiemeLigne,71,false
2015,Fidji,Tevita Cavubati,DeuxiemeLigne,74,false
2015,Fidji,Peceli Yato,TroisiemeLigneAile,75,false
2015,Fidji,Dominiko Waqaniburotu,TroisiemeLigneAile,73,false
2015,Fidji,Malakai Ravulo,TroisiemeLigneAile,71,false
2015,Fidji,Akapusi Qera,TroisiemeLigneAile,80,false
2015,Fidji,Sakiusa Masi Matadigo,TroisiemeLigneCentre,75,false
2015,Fidji,Netani Talei,TroisiemeLigneCentre,73,false
2015,Fidji,Nemia Kenatale,DemiDeMelee,75,false
2015,Fidji,Henry Seniloli,DemiDeMelee,73,false
2015,Fidji,Nikola Matawalu,DemiDeMelee,82,false
2015,Fidji,Ben Volavola,DemiOuverture,80,true
2015,Fidji,Joshua Matavesi,DemiOuverture,73,true
2015,Fidji,Gabiriele Lovobalavu,Centre,75,false
2015,Fidji,Vereniki Goneva,Centre,73,false
2015,Fidji,Levani Botia,Centre,71,false
2015,Fidji,Timoci Nagusa,Ailier,75,false
2015,Fidji,Waisea Nayacalevu,Ailier,73,false
2015,Fidji,Nemani Nadolo,Ailier,87,false
2015,Fidji,Asaeli Tikoirotuma,Ailier,74,false
2015,Fidji,Kini Murimurivalu,Arriere,75,false
2015,Fidji,Metuisela Talebula,Arriere,73,false
2015,Uruguay,Carlos Arboleya,Pilier,60,false
2015,Uruguay,Alejo Corral,Pilier,58,false
2015,Uruguay,Oscar Durán,Pilier,56,false
2015,Uruguay,Mario Sagario,Pilier,59,false
2015,Uruguay,Mateo Sanguinetti,Pilier,57,false
2015,Uruguay,Germán Kessler,Talonneur,60,false
2015,Uruguay,Nicolás Klappenbach,Talonneur,58,false
2015,Uruguay,Franco Lamanna,DeuxiemeLigne,60,false
2015,Uruguay,Mathias Palomeque,DeuxiemeLigne,58,false
2015,Uruguay,Santiago Vilaseca,DeuxiemeLigne,56,false
2015,Uruguay,Jorge Zerbino,DeuxiemeLigne,59,false
2015,Uruguay,Agustín Alonso,TroisiemeLigneAile,60,false
2015,Uruguay,Fernando Bascou,TroisiemeLigneAile,58,false
2015,Uruguay,Matías Beer,TroisiemeLigneAile,56,false
2015,Uruguay,Juan de Freitas,TroisiemeLigneAile,59,false
2015,Uruguay,Juan Manuel Gaminara,TroisiemeLigneAile,57,false
2015,Uruguay,Diego Magno,TroisiemeLigneAile,60,false
2015,Uruguay,Alejandro Nieto,TroisiemeLigneCentre,60,false
2015,Uruguay,Alejo Durán,DemiDeMelee,60,false
2015,Uruguay,Agustín Ormaechea,DemiDeMelee,66,false
2015,Uruguay,Felipe Berchesi,DemiOuverture,68,true
2015,Uruguay,Manuel Blengio,DemiOuverture,58,true
2015,Uruguay,Joaquín Prada,Centre,60,false
2015,Uruguay,Alberto Román,Centre,58,false
2015,Uruguay,Andrés Vilaseca,Centre,56,false
2015,Uruguay,Leandro Leivas,Centre,59,false
2015,Uruguay,Francisco Bulanti,Ailier,60,false
2015,Uruguay,Jerónimo Etcheverry,Ailier,58,false
2015,Uruguay,Santiago Gibernau,Ailier,56,false
2015,Uruguay,Gastón Mieres,Arriere,60,false
2015,Uruguay,Rodrigo Silva,Arriere,58,false
2015,Afrique_du_Sud,Frans Malherbe,Pilier,85,false
2015,Afrique_du_Sud,Jannie du Plessis,Pilier,83,false
2015,Afrique_du_Sud,Tendai Mtawarira,Pilier,88,false
2015,Afrique_du_Sud,Trevor Nyakane,Pilier,84,false
2015,Afrique_du_Sud,Coenie Oosthuizen,Pilier,82,false
2015,Afrique_du_Sud,Schalk Brits,Talonneur,85,false
2015,Afrique_du_Sud,Bismarck du Plessis,Talonneur,89,false
2015,Afrique_du_Sud,Adriaan Strauss,Talonneur,81,false
2015,Afrique_du_Sud,Lood de Jager,DeuxiemeLigne,85,false
2015,Afrique_du_Sud,Pieter-Steph du Toit,DeuxiemeLigne,83,false
2015,Afrique_du_Sud,Eben Etzebeth,DeuxiemeLigne,90,false
2015,Afrique_du_Sud,Victor Matfield,DeuxiemeLigne,84,false
2015,Afrique_du_Sud,Willem Alberts,TroisiemeLigneAile,85,false
2015,Afrique_du_Sud,Schalk Burger,TroisiemeLigneAile,88,false
2015,Afrique_du_Sud,Siya Kolisi,TroisiemeLigneAile,81,false
2015,Afrique_du_Sud,Francois Louw,TroisiemeLigneAile,84,false
2015,Afrique_du_Sud,Duane Vermeulen,TroisiemeLigneCentre,92,false
2015,Afrique_du_Sud,Fourie du Preez,DemiDeMelee,90,false
2015,Afrique_du_Sud,Rudy Paige,DemiDeMelee,83,false
2015,Afrique_du_Sud,Ruan Pienaar,DemiDeMelee,81,true
2015,Afrique_du_Sud,Patrick Lambie,DemiOuverture,85,true
2015,Afrique_du_Sud,Morné Steyn,DemiOuverture,83,true
2015,Afrique_du_Sud,Handré Pollard,DemiOuverture,92,true
2015,Afrique_du_Sud,Damian de Allende,Centre,85,false
2015,Afrique_du_Sud,Jesse Kriel,Centre,83,false
2015,Afrique_du_Sud,Jan Serfontein,Centre,81,false
2015,Afrique_du_Sud,Jean de Villiers,Centre,84,false
2015,Afrique_du_Sud,Bryan Habana,Ailier,91,false
2015,Afrique_du_Sud,Lwazi Mvovo,Ailier,83,false
2015,Afrique_du_Sud,JP Pietersen,Ailier,81,false
2015,Afrique_du_Sud,Zane Kirchner,Arriere,85,false
2015,Afrique_du_Sud,Willie le Roux,Arriere,87,false
2015,Écosse,Alasdair Dickinson,Pilier,79,false
2015,Écosse,Ryan Grant,Pilier,77,false
2015,Écosse,Willem Petrus Nel,Pilier,75,false
2015,Écosse,Gordon Reid,Pilier,78,false
2015,Écosse,Jon Welsh,Pilier,76,false
2015,Écosse,Fraser Brown,Talonneur,79,false
2015,Écosse,Kevin Bryce,Talonneur,77,false
2015,Écosse,Ross Ford,Talonneur,75,false
2015,Écosse,Grant Gilchrist,DeuxiemeLigne,79,false
2015,Écosse,Jonny Gray,DeuxiemeLigne,84,false
2015,Écosse,Richie Gray,DeuxiemeLigne,84,false
2015,Écosse,Tim Swinson,DeuxiemeLigne,78,false
2015,Écosse,John Hardie,TroisiemeLigneAile,79,false
2015,Écosse,Josh Strauss,TroisiemeLigneAile,77,false
2015,Écosse,Alasdair Strokosch,TroisiemeLigneAile,75,false
2015,Écosse,Blair Cowan,TroisiemeLigneAile,78,false
2015,Écosse,David Denton,TroisiemeLigneCentre,79,false
2015,Écosse,Ryan Wilson,TroisiemeLigneCentre,77,false
2015,Écosse,Sam Hidalgo-Clyne,DemiDeMelee,79,true
2015,Écosse,Greig Laidlaw,DemiDeMelee,85,true
2015,Écosse,Henry Pyrgos,DemiDeMelee,75,false
2015,Écosse,Finn Russell,DemiOuverture,86,true
2015,Écosse,Duncan Weir,DemiOuverture,77,true
2015,Écosse,Mark Bennett,Centre,79,false
2015,Écosse,Peter Horne,Centre,77,false
2015,Écosse,Matt Scott,Centre,75,false
2015,Écosse,Richie Vernon,Centre,78,false
2015,Écosse,Sean Lamont,Ailier,79,false
2015,Écosse,Sean Maitland,Ailier,77,false
2015,Écosse,Tommy Seymour,Ailier,75,false
2015,Écosse,Tim Visser,Ailier,78,false
2015,Écosse,Stuart Hogg,Arriere,86,true
2015,Samoa,Viliamu Afatia,Pilier,72,false
2015,Samoa,Jake Grey,Pilier,70,false
2015,Samoa,Census Johnston,Pilier,68,false
2015,Samoa,Anthony Perenise,Pilier,71,false
2015,Samoa,Sakaria Taulafo,Pilier,69,false
2015,Samoa,Ole Avei,Talonneur,72,false
2015,Samoa,Manu Leiataua,Talonneur,70,false
2015,Samoa,Motu Matu'u,Talonneur,68,false
2015,Samoa,Filo Paulo,DeuxiemeLigne,72,false
2015,Samoa,Joe Tekori,DeuxiemeLigne,70,false
2015,Samoa,Kane Thompson,DeuxiemeLigne,68,false
2015,Samoa,Faifili Levave,TroisiemeLigneAile,72,false
2015,Samoa,Maurie Fa'asavalu,TroisiemeLigneAile,70,false
2015,Samoa,Alafoti Fa'osiliva,TroisiemeLigneAile,68,false
2015,Samoa,Jack Lam,TroisiemeLigneAile,80,false
2015,Samoa,Ofisa Treviranus,TroisiemeLigneAile,69,false
2015,Samoa,TJ Ioane,TroisiemeLigneCentre,72,false
2015,Samoa,Sanele Vavae Tuilagi,TroisiemeLigneCentre,70,false
2015,Samoa,Vavao Afemai,DemiDeMelee,72,false
2015,Samoa,Kahn Fotuali'i,DemiDeMelee,81,true
2015,Samoa,Patrick Fa'apale,DemiOuverture,72,true
2015,Samoa,Tusi Pisi,DemiOuverture,70,true
2015,Samoa,Michael Stanley,DemiOuverture,68,true
2015,Samoa,Rey Lee-Lo,Centre,72,false
2015,Samoa,Johnny Leota,Centre,70,false
2015,Samoa,Paul Perez,Centre,68,false
2015,Samoa,George Pisi,Centre,71,false
2015,Samoa,Fa'atoina Autagavaia,Ailier,72,false
2015,Samoa,Ken Pisi,Ailier,70,false
2015,Samoa,Alesana Tuilagi,Ailier,82,false
2015,Samoa,Tim Nanai-Williams,Arriere,81,true
2015,Japon,Kensuke Hatakeyama,Pilier,77,false
2015,Japon,Keita Inagaki,Pilier,75,false
2015,Japon,Masataka Mikami,Pilier,73,false
2015,Japon,Hiroshi Yamashita,Pilier,76,false
2015,Japon,Shota Horie,Talonneur,83,false
2015,Japon,Takeshi Kizu,Talonneur,75,false
2015,Japon,Hiroki Yuhara,Talonneur,73,false
2015,Japon,Shoji Ito,DeuxiemeLigne,77,false
2015,Japon,Shinya Makabe,DeuxiemeLigne,75,false
2015,Japon,Hitoshi Ono,DeuxiemeLigne,73,false
2015,Japon,Luke Thompson,DeuxiemeLigne,76,false
2015,Japon,Michael Broadhurst,TroisiemeLigneAile,77,false
2015,Japon,Justin Ives,TroisiemeLigneAile,75,false
2015,Japon,Michael Leitch,TroisiemeLigneAile,88,false
2015,Japon,Hendrik Tui,TroisiemeLigneAile,76,false
2015,Japon,Koliniasi Holani,TroisiemeLigneCentre,77,false
2015,Japon,Amanaki Mafi,TroisiemeLigneCentre,84,false
2015,Japon,Atsushi Hiwasa,DemiDeMelee,77,false
2015,Japon,Fumiaki Tanaka,DemiDeMelee,85,false
2015,Japon,Harumichi Tatekawa,DemiOuverture,77,true
2015,Japon,Kosei Ono,DemiOuverture,75,true
2015,Japon,Kotaro Matsushima,Centre,83,true
2015,Japon,Male Sa'u,Centre,75,false
2015,Japon,Yu Tamura,Centre,73,false
2015,Japon,Craig Wing,Centre,76,false
2015,Japon,Yoshikazu Fujita,Ailier,77,false
2015,Japon,Kenki Fukuoka,Ailier,75,false
2015,Japon,Karne Hesketh,Ailier,84,false
2015,Japon,Toshiaki Hirose,Ailier,76,false
2015,Japon,Akihito Yamada,Ailier,74,false
2015,Japon,Ayumu Goromaru,Arriere,89,true
2015,USA,Chris Baumann,Pilier,64,false
2015,USA,Eric Fry,Pilier,62,false
2015,USA,Olive Kilifi,Pilier,60,false
2015,USA,Titi Lamositele,Pilier,63,false
2015,USA,Matekitonga Moeakiola,Pilier,61,false
2015,USA,Joe Taufete'e,Pilier,64,false
2015,USA,Zach Fenoglio,Talonneur,64,false
2015,USA,Phil Thiel,Talonneur,62,false
2015,USA,Cam Dolan,DeuxiemeLigne,64,false
2015,USA,Greg Peterson,DeuxiemeLigne,62,false
2015,USA,Hayden Smith,DeuxiemeLigne,60,false
2015,USA,Louis Stanfill,DeuxiemeLigne,63,false
2015,USA,Andrew Durutalo,TroisiemeLigneAile,64,false
2015,USA,Matt Trouville,TroisiemeLigneAile,62,false
2015,USA,Alastair McFarland,TroisiemeLigneAile,60,false
2015,USA,John Quill,TroisiemeLigneAile,63,false
2015,USA,Danny Barrett,TroisiemeLigneCentre,64,false
2015,USA,Samu Manoa,TroisiemeLigneCentre,78,false
2015,USA,Niku Kruger,DemiDeMelee,64,false
2015,USA,Mike Petri,DemiDeMelee,62,false
2015,USA,AJ MacGinty,DemiOuverture,74,true
2015,USA,Shalom Suniula,DemiOuverture,62,true
2015,USA,Seamus Kelly,Centre,64,false
2015,USA,Folau Niua,Centre,62,true
2015,USA,Thretton Palamo,Centre,60,false
2015,USA,Andrew Suniula,Centre,63,false
2015,USA,Takudzwa Ngwenya,Ailier,72,false
2015,USA,Blaine Scully,Ailier,72,false
2015,USA,Zack Test,Ailier,60,false
2015,USA,Brett Thompson,Ailier,63,false
2015,USA,Chris Wyles,Arriere,73,true
2015,Nouvelle_Zélande,Wyatt Crockett,Pilier,88,false
2015,Nouvelle_Zélande,Charlie Faumuina,Pilier,86,false
2015,Nouvelle_Zélande,Ben Franks,Pilier,84,false
2015,Nouvelle_Zélande,Owen Franks,Pilier,87,false
2015,Nouvelle_Zélande,Joe Moody,Pilier,85,false
2015,Nouvelle_Zélande,Tony Woodcock,Pilier,88,false
2015,Nouvelle_Zélande,Dane Coles,Talonneur,90,false
2015,Nouvelle_Zélande,Keven Mealamu,Talonneur,86,false
2015,Nouvelle_Zélande,Codie Taylor,Talonneur,84,false
2015,Nouvelle_Zélande,Brodie Retallick,DeuxiemeLigne,94,false
2015,Nouvelle_Zélande,Luke Romano,DeuxiemeLigne,86,false
2015,Nouvelle_Zélande,Sam Whitelock,DeuxiemeLigne,91,false
2015,Nouvelle_Zélande,Sam Cane,TroisiemeLigneAile,88,false
2015,Nouvelle_Zélande,Jerome Kaino,TroisiemeLigneAile,86,false
2015,Nouvelle_Zélande,Richie McCaw,TroisiemeLigneAile,96,false
2015,Nouvelle_Zélande,Liam Messam,TroisiemeLigneAile,87,false
2015,Nouvelle_Zélande,Kieran Read,TroisiemeLigneCentre,93,false
2015,Nouvelle_Zélande,Victor Vito,TroisiemeLigneCentre,86,false
2015,Nouvelle_Zélande,Tawera Kerr-Barlow,DemiDeMelee,88,false
2015,Nouvelle_Zélande,TJ Perenara,DemiDeMelee,86,false
2015,Nouvelle_Zélande,Aaron Smith,DemiDeMelee,91,false
2015,Nouvelle_Zélande,Beauden Barrett,DemiOuverture,94,true
2015,Nouvelle_Zélande,Daniel Carter,DemiOuverture,97,true
2015,Nouvelle_Zélande,Colin Slade,DemiOuverture,84,true
2015,Nouvelle_Zélande,Malakai Fekitoa,Centre,88,false
2015,Nouvelle_Zélande,Ma'a Nonu,Centre,92,false
2015,Nouvelle_Zélande,Conrad Smith,Centre,90,false
2015,Nouvelle_Zélande,Sonny Bill Williams,Centre,87,false
2015,Nouvelle_Zélande,Nehe Milner-Skudder,Ailier,90,false
2015,Nouvelle_Zélande,Waisake Naholo,Ailier,86,false
2015,Nouvelle_Zélande,Julian Savea,Ailier,93,false
2015,Nouvelle_Zélande,Ben Smith,Arriere,92,false
2015,Argentine,Marcos Ayerza,Pilier,83,false
2015,Argentine,Nahuel Tetaz Chaparro,Pilier,81,false
2015,Argentine,Ramiro Herrera,Pilier,79,false
2015,Argentine,Lucas Noguera Paz,Pilier,82,false
2015,Argentine,Juan Figallo,Pilier,80,false
2015,Argentine,Juan Pablo Orlandi,Pilier,83,false
2015,Argentine,Santiago García Botta,Pilier,81,false
2015,Argentine,Agustín Creevy,Talonneur,90,false
2015,Argentine,Julián Montoya,Talonneur,81,false
2015,Argentine,Matias Alemanno,DeuxiemeLigne,83,false
2015,Argentine,Mariano Galarza,DeuxiemeLigne,81,false
2015,Argentine,Tomás Lavanini,DeuxiemeLigne,79,false
2015,Argentine,Guido Petti Pagadizábal,DeuxiemeLigne,82,false
